hours,id,name,price,rating,review_count,special_hours,state,cuisine
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-3r9TfGuLzx_CRh9b8u6iA,Absolute Thai Restaurant,$$,3.5,374,,DC,Thai
"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-7AZWvUzAiAI-rnAW-WoqQ,Ricks Cafe,$$,3.5,72,,DC,Caribbean
"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-8KtYXAQNOh1339Z7gl4WQ,Chopt Creative Salad Co.,$,3.0,50,,DC,Salad
"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-8KtYXAQNOh1339Z7gl4WQ,Chopt Creative Salad Co.,$,3.0,50,,DC,Vegetarian
"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",-8cgezcs-xEpJ_K4O8LxVA,Harry's Restaurant,$$,3.0,449,,DC,American (Traditional)
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-9X0Ukem1bpQP0wEW7RRSg,KT Pizza,$$,4.0,34,,DC,Food Trucks
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-9X0Ukem1bpQP0wEW7RRSg,KT Pizza,$$,4.0,34,,DC,Pizza
"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-9sZ7KDcpFEY1hLKMI33Vw,Mario's House Pizza,$,4.5,18,,DC,Pizza
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-AKrF7NTbrIb7FWxzCYvfA,Borinquen Lunch Box,$,4.0,80,,DC,Food Trucks
"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-DO9zy9e9B4bx_g83F0kkw,Pho Junkies,$$,4.5,163,,DC,Vietnamese
"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '1430', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-DO9zy9e9B4bx_g83F0kkw,Pho Junkies,$$,4.5,163,,DC,Food Trucks
"[{'open': [{'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EdT02_Wz0PfAK2y4WRixQ,Chipotle Mexican Grill,$,2.5,89,,DC,Mexican
"[{'open': [{'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EdT02_Wz0PfAK2y4WRixQ,Chipotle Mexican Grill,$,2.5,89,,DC,Fast Food
"[{'open': [{'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,$,3.5,48,,DC,Sandwiches
"[{'open': [{'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,$,3.5,48,,DC,Fast Food
"[{'open': [{'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0730', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,$,3.5,48,,DC,Salad
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-IBCLfj6PgbmHhVCvZUUbg,HipCityVeg,$$,4.5,774,,DC,Vegetarian
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-IBCLfj6PgbmHhVCvZUUbg,HipCityVeg,$$,4.5,774,,DC,Vegan
"[{'open': [{'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-IUpiSKfPf-Yw--RMGlAIg,Chipotle Mexican Grill,$,2.5,22,,DC,Fast Food
"[{'open': [{'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1045', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-IUpiSKfPf-Yw--RMGlAIg,Chipotle Mexican Grill,$,2.5,22,,DC,Mexican
"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-LrtMHnJGB1qniKfnZeMWw,Jj's Carryout,$$,2.0,11,,DC,American (New)
"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-LrtMHnJGB1qniKfnZeMWw,Jj's Carryout,$$,2.0,11,,DC,Seafood
"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-O-K5I_9TVQCbgH05x9MiA,Sushi Taro,$$$$,4.0,1335,,DC,Sushi Bars
"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-O-K5I_9TVQCbgH05x9MiA,Sushi Taro,$$$$,4.0,1335,,DC,Japanese
"[{'open': [{'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '0730', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '0830', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '0830', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,$$$$,4.0,18,,DC,Seafood
"[{'open': [{'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '0730', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '0830', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '0830', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,$$$$,4.0,18,,DC,Wine Bars
"[{'open': [{'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '0730', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '0730', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '0830', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '0830', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,$$$$,4.0,18,,DC,American (Traditional)
,-OckulOyBHPcfPugwwDKZw,Pasta & Pasta,$$,1.0,1,,DC,Italian
