id,name,rating,review_count,open_pass_midnight,state,cuisine
-3r9TfGuLzx_CRh9b8u6iA,Absolute Thai Restaurant,3.5,374,False,DC,Thai
-7AZWvUzAiAI-rnAW-WoqQ,Ricks Cafe,3.5,72,False,DC,Caribbean
-8KtYXAQNOh1339Z7gl4WQ,Chopt Creative Salad Co.,3.0,50,False,DC,Salad
-8KtYXAQNOh1339Z7gl4WQ,Chopt Creative Salad Co.,3.0,50,False,DC,Vegetarian
-8cgezcs-xEpJ_K4O8LxVA,Harry's Restaurant,3.0,449,True,DC,American (Traditional)
-9X0Ukem1bpQP0wEW7RRSg,KT Pizza,4.0,34,False,DC,Food Trucks
-9X0Ukem1bpQP0wEW7RRSg,KT Pizza,4.0,34,False,DC,Pizza
-9sZ7KDcpFEY1hLKMI33Vw,Mario's House Pizza,4.5,18,False,DC,Pizza
-AKrF7NTbrIb7FWxzCYvfA,Borinquen Lunch Box,4.0,80,False,DC,Food Trucks
-DO9zy9e9B4bx_g83F0kkw,Pho Junkies,4.5,163,False,DC,Vietnamese
-DO9zy9e9B4bx_g83F0kkw,Pho Junkies,4.5,163,False,DC,Food Trucks
-EdT02_Wz0PfAK2y4WRixQ,Chipotle Mexican Grill,2.5,89,False,DC,Mexican
-EdT02_Wz0PfAK2y4WRixQ,Chipotle Mexican Grill,2.5,89,False,DC,Fast Food
-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,3.5,48,False,DC,Sandwiches
-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,3.5,48,False,DC,Fast Food
-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,3.5,48,False,DC,Salad
-IBCLfj6PgbmHhVCvZUUbg,HipCityVeg,4.5,774,False,DC,Vegetarian
-IBCLfj6PgbmHhVCvZUUbg,HipCityVeg,4.5,774,False,DC,Vegan
-IUpiSKfPf-Yw--RMGlAIg,Chipotle Mexican Grill,2.5,22,False,DC,Fast Food
-IUpiSKfPf-Yw--RMGlAIg,Chipotle Mexican Grill,2.5,22,False,DC,Mexican
-LrtMHnJGB1qniKfnZeMWw,Jj's Carryout,2.0,11,False,DC,American (New)
-LrtMHnJGB1qniKfnZeMWw,Jj's Carryout,2.0,11,False,DC,Seafood
-O-K5I_9TVQCbgH05x9MiA,Sushi Taro,4.0,1335,False,DC,Sushi Bars
-O-K5I_9TVQCbgH05x9MiA,Sushi Taro,4.0,1335,False,DC,Japanese
-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,4.0,18,True,DC,Seafood
-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,4.0,18,True,DC,Wine Bars
-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,4.0,18,True,DC,American (Traditional)
-OckulOyBHPcfPugwwDKZw,Pasta & Pasta,1.0,1,False,DC,Italian
-Qln445DkYYFxK0EkQ3MQw,Maggiano's Little Italy,3.5,508,False,DC,Italian
-Qln445DkYYFxK0EkQ3MQw,Maggiano's Little Italy,3.5,508,False,DC,Bars
-QvEB4PhS7n3hCBgVpnZrA,Central Michel Richard,4.0,1221,False,DC,American (New)
-QvEB4PhS7n3hCBgVpnZrA,Central Michel Richard,4.0,1221,False,DC,French
-SxitwHacSo416v0LI9oPw,Kogod Liquors & Deli,3.5,61,False,DC,Delis
-SxitwHacSo416v0LI9oPw,Kogod Liquors & Deli,3.5,61,False,DC,Sandwiches
-V4M1dSlWwNzH_ln6kQEiw,Caviar and Tiger Fork,2.0,1,False,DC,Chinese
-VYyj3WGmRLyfdK8kV3xWQ,Potbelly Sandwich Shop,3.0,41,False,DC,Sandwiches
-VYyj3WGmRLyfdK8kV3xWQ,Potbelly Sandwich Shop,3.0,41,False,DC,Fast Food
-VYyj3WGmRLyfdK8kV3xWQ,Potbelly Sandwich Shop,3.0,41,False,DC,Salad
-VfrC7i7-odHSRCxoyyCiQ,Johnny's Carryout Chinese Restaurant,2.5,2,False,DC,Chinese
-XkoQgIL-wgHCkqRg9rhQQ,Ben's Next Door,3.5,687,True,DC,Bars
