id,name,rating,review_count,open_pass_midnight,state
-3r9TfGuLzx_CRh9b8u6iA,Absolute Thai Restaurant,3.5,374,False,DC
-7AZWvUzAiAI-rnAW-WoqQ,Ricks Cafe,3.5,72,False,DC
-8KtYXAQNOh1339Z7gl4WQ,Chopt Creative Salad Co.,3.0,50,False,DC
-8cgezcs-xEpJ_K4O8LxVA,Harry's Restaurant,3.0,449,True,DC
-9X0Ukem1bpQP0wEW7RRSg,KT Pizza,4.0,34,False,DC
-9sZ7KDcpFEY1hLKMI33Vw,Mario's House Pizza,4.5,18,False,DC
-A5Tlne93mZZpZmFY2sJdg,Malbec Restaurant,4.0,105,False,DC
-AKrF7NTbrIb7FWxzCYvfA,Borinquen Lunch Box,4.0,80,False,DC
-DO9zy9e9B4bx_g83F0kkw,Pho Junkies,4.5,163,False,DC
-EdT02_Wz0PfAK2y4WRixQ,Chipotle Mexican Grill,2.5,89,False,DC
-EkFQozDO6H-kcabdwXtYg,Potbelly Sandwich Shop,3.5,48,False,DC
-IBCLfj6PgbmHhVCvZUUbg,HipCityVeg,4.5,774,False,DC
-IUpiSKfPf-Yw--RMGlAIg,Chipotle Mexican Grill,2.5,22,False,DC
-LrtMHnJGB1qniKfnZeMWw,Jj's Carryout,2.0,11,False,DC
-O-K5I_9TVQCbgH05x9MiA,Sushi Taro,4.0,1335,False,DC
-OMQv4qP5wTkQ5viTIDVuw,Oyster Riot @ Old Ebbitt Grill,4.0,18,True,DC
-OckulOyBHPcfPugwwDKZw,Pasta & Pasta,1.0,1,False,DC
-Qln445DkYYFxK0EkQ3MQw,Maggiano's Little Italy,3.5,508,False,DC
-QvEB4PhS7n3hCBgVpnZrA,Central Michel Richard,4.0,1221,False,DC
-SxitwHacSo416v0LI9oPw,Kogod Liquors & Deli,3.5,61,False,DC
-V4M1dSlWwNzH_ln6kQEiw,Caviar and Tiger Fork,2.0,1,False,DC
-VYyj3WGmRLyfdK8kV3xWQ,Potbelly Sandwich Shop,3.0,41,False,DC
-VfrC7i7-odHSRCxoyyCiQ,Johnny's Carryout Chinese Restaurant,2.5,2,False,DC
-XkoQgIL-wgHCkqRg9rhQQ,Ben's Next Door,3.5,687,True,DC
-ZDHvLrJPiDqkL8iD01V1A,Bourbon Steak,4.0,731,False,DC
-bEH3OOngPUCYRGJsnkkDQ,Dupont Italian Kitchen,3.5,319,True,DC
-bEzBJAavdMoQTHWxUJ4bA,El Don Restaurant,3.0,7,True,DC
-daHpfE8XuqvOZr0SdxONg,Matisse,3.5,55,False,DC
-geMzu2IsbtJUNdJYfU_Sg,Sushi Ogawa,4.0,186,False,DC
-hUqGxDGQVtAvzW3JSjLJA,Krispy Krunchy Chicken,3.5,4,False,DC
-htJnk0V5KCetJNNujspDA,HomeSlyce,4.5,134,False,DC
-hu5SWEFeudsM74DHppaQg,The Bar Milk & Honey,4.0,252,False,DC
-i2jExohDYLUnuIE62AB3g,Basil Thyme,4.5,295,False,DC
-kyZlF7r3MRa59OvO3DxAQ,Domino's Pizza,1.5,14,False,DC
-oihRrt7WDnghqnIlSCoLA,Panera Bread,3.5,23,False,DC
-pIkGmhj1FD3g6BmfRLu1w,Alero Restaurant,2.5,675,True,DC
-q6IwRHCsSwc8q2QC-ZFVQ,El Centro,4.0,1561,True,DC
-qm6CDzqtH-NutK_8tP1zQ,B & J Carryout,2.5,11,False,DC
-rKS3-3HG_gyxRL0X4pzPQ,DC Hot Wheels,3.5,3,False,DC
-rdCprgFHQ0Zzo98v_F73A,The Red Zebra,4.5,22,False,DC
-vnZh4pmSUt_-b1GlH0CcQ,Dandy's,2.5,29,True,DC
-wHmDEAecE6l6dYR1CmYfA,The Dupont Circle,3.5,179,False,DC
-yyX17V31YAyUiu55Tfcuw,LemonadeLove,5.0,2,False,DC
0-OTVzmRIV1csYwQYuCa8g,Call Your Mother,4.5,235,False,DC
02f0LHZ2ASNkQmcNeI2QrA,Broccoli Bar,4.0,35,True,DC
02i1RoOkg1Vh6x1-FF-eyg,Rasika West End,4.0,1251,False,DC
04Ng72bmAVRyo7Yn7EBnAg,Soup Up,4.5,74,False,DC
07CDI4-Hol71g0eu9P9c1w,Fortune Express,2.5,46,False,DC
094fHChJkrJqztSFCn3ezA,Taqueria Habanero,4.5,726,False,DC
09b1hGTjMKZnz-Zzowuggg,Wawa,5.0,1,False,DC
09t1c--C1-NjRnaJ_FIIWw,The Occidental,3.5,396,False,DC
09tFVl4odpmbSgk8enpxrA,Spring Mill Bread,3.5,145,False,DC
0A0miTWeACDow_gzTEo52w,District Taco,3.0,74,False,DC
0A_OZ-7w0-Iivb6yoaNXqQ,McDonald's,1.5,7,True,DC
0BHO_-ydp2dHRjWgAdikqw,Rebellion,3.5,204,True,DC
0Bv8T5KmaGJKjASyqKPppg,La Vie,3.5,284,True,DC
0CfNGIodfKdoItAmSWgDDg,RASA,4.5,306,False,DC
0DJkU6jx6maJ9v8svsB18A,Juanita's,4.5,11,False,DC
0DMTUPJAbMFlnyCrMGo6wQ,&pizza,4.0,149,False,DC
0DZlEMfNoiSPJY6tw0jTbg,La Morenita,3.0,5,False,DC
0DjUnUEK9lEAXR3NYSJbIg,Rice Bar,4.0,268,False,DC
0E-VYhreGPhBrugmXewyaw,Zeppelin,4.0,74,True,DC
