hours,id,name,price,rating,review_count,special_hours,state,cuisine
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",--saaXOpXBfC6-pvmTP5mw,Not Your Average Joe's,$$,3.5,372,,MD,Salad
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",--saaXOpXBfC6-pvmTP5mw,Not Your Average Joe's,$$,3.5,372,,MD,Seafood
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",--saaXOpXBfC6-pvmTP5mw,Not Your Average Joe's,$$,3.5,372,,MD,American (Traditional)
"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-1Jfl_zix9l1RRWOPmzSEQ,IHOP,$$,2.5,125,,MD,Breakfast & Brunch
"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-1Jfl_zix9l1RRWOPmzSEQ,IHOP,$$,2.5,125,,MD,American (Traditional)
"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-1Jfl_zix9l1RRWOPmzSEQ,IHOP,$$,2.5,125,,MD,Burgers
,-34232Z9Njha7auSGehjdQ,Capitol Seafood & Crab,$,4.0,13,,MD,Seafood
,-41K7K3wDEpHSeJtbgKMNQ,The Spot Mini,,3.5,3,,MD,Japanese
"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",-4B2Bm0hXrr043xOj85dog,Cancun Grill Restaurant,$$,2.5,2,,MD,Mexican
"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",-5nB1PYtZLJgmrOtHrWt0A,Taco Rico,$,4.5,18,,MD,Mexican
