id,name,rating,review_count,open_pass_midnight,state
--saaXOpXBfC6-pvmTP5mw,Not Your Average Joe's,3.5,372,False,MD
-1Jfl_zix9l1RRWOPmzSEQ,IHOP,2.5,125,True,MD
-34232Z9Njha7auSGehjdQ,Capitol Seafood & Crab,4.0,13,False,MD
-41K7K3wDEpHSeJtbgKMNQ,The Spot Mini,3.5,3,False,MD
-4B2Bm0hXrr043xOj85dog,Cancun Grill Restaurant,2.5,2,True,MD
-5nB1PYtZLJgmrOtHrWt0A,Taco Rico,4.5,18,False,MD
-7s50sIf1d1MizIOIMqcDQ,Conservatory Cafe,3.0,4,False,MD
-9nDx65FYy2phwsLXoJ3Ew,Just Jerk,4.0,243,False,MD
-9uJyS9cSn2Chfy6uB0ijg,GC Cafeteria,5.0,1,False,MD
-EbZgoRwfoHtYkGN2VVbVw,Amo Los Tacos,2.5,34,True,MD
-H6teObwVOoXoWifdZf12g,Sarku Japan Sushi Bar,2.5,23,False,MD
-HFG7EOMJ_no-rKdYxbojg,Clyde's of Chevy Chase,3.0,421,True,MD
-JfyYYYMzprFsBGmM2FUjg,Pines of Rome,3.5,185,False,MD
-NVpjIM1b0_4PbdX1d4wXw,Balagger Ethiopian Restaurant and Bar,3.0,26,True,MD
-NcMLmD31n3h5BbqXPN7bA,Cheesesteak Mikes,3.5,72,False,MD
-WAvaGWtnz6yNKqpwGjOgg,Crisp & Juicy,3.5,33,False,MD
-X-lSUGsIKZkEncTN6-uWQ,The Tender Rib,4.0,55,False,MD
-aAZiz_4TrT-IuIuHJL4ZQ,Hibachi-San,3.0,3,False,MD
-b8N_HrKbq2g7OVphh62Nw,Mission BBQ,4.0,228,False,MD
-cbyKl6kxeiTYPYrUHv8Cg,Pollo Sabroso,4.0,1,False,MD
-iMtxD2855n_Y3KAzQMqMw,United Desi Market,3.5,4,False,MD
-kvZ402OkPZfTM6wt_s4BQ,Popeyes Louisiana Kitchen,2.5,17,False,MD
-lClszc0AZcGOlcVAiwwfw,Cafe X-press,4.5,27,False,MD
-lnUAEGykzxdll2hVrEspA,Ninety Bar & Bistro,3.0,2,False,MD
-o1FxHkyniA5Gmza5IEyNg,Burger King,3.0,10,False,MD
-otvcd4Jjc9ZZWC8J61vZg,Eddie Leonard's Carry Out,2.5,4,False,MD
-rDr-IggfcIXDUIf3V_8dg,Northwest Chinese Food,4.0,140,False,MD
-u0xH5hDORl-tm4WHKZ6LA,The Wine Harvest,4.0,51,False,MD
-upKi-Sc54rX7ajuhzUAAA,KFC,1.0,26,True,MD
-xn-ia6EjVPARe4FLKEKHg,Papa John's Pizza,1.0,33,False,MD
-y2TkqHvMhA4Ymway1nr0Q,Subway,3.0,2,False,MD
-yftNGLVxXo7OCH6NXpHSg,Tiffany's Oven,3.0,1,False,MD
-yifWT6zAlrSBh_qDCwQiQ,Eddie's Cafe,3.5,40,False,MD
-zR_X8Lh5j8Tu--c0Q67FQ,El Sitio Restaurant,1.0,1,True,MD
00smJmk2rjdaU2NVtzXz8w,Flippin' Pizza,3.0,146,False,MD
03EaVsdiOs3NYsdMtSV-1Q,McLoone's Pier House,2.5,479,False,MD
062CC_NuxAQ9cWXqRjfxxA,CAVA,4.0,118,False,MD
